ОПТИМАЛЬНЫЕ ЗНАЧЕНИЯ:
sin(t) на [0,1]: n = 3
exp(t) на [0,1]: n = 4
sin(t) на [10,11]: n = 31
exp(t) на [10,11]: n = 32

Значения функций на [0,1]:
t	sin_exact	sin_approx	exp_exact	exp_approx	sin_improved	exp_improved
0.0000000000	0.0000000000	0.0000000000	1.0000000000	1.0000000000	0.0000000000	1.0000000000
0.0200000000	0.0199986667	0.0199986667	1.0202013400	1.0202013400	0.0199986667	1.0202013400
0.0400000000	0.0399893342	0.0399893333	1.0408107742	1.0408107733	0.0399893342	1.0408107742
0.0600000000	0.0599640065	0.0599640000	1.0618365465	1.0618365400	0.0599640065	1.0618365465
0.0800000000	0.0799146940	0.0799146667	1.0832870677	1.0832870400	0.0799146940	1.0832870677
0.1000000000	0.0998334166	0.0998333333	1.1051709181	1.1051708333	0.0998334166	1.1051709181
0.1200000000	0.1197122073	0.1197120000	1.1274968516	1.1274966400	0.1197122073	1.1274968516
0.1400000000	0.1395431146	0.1395426667	1.1502737989	1.1502733400	0.1395431146	1.1502737989
0.1600000000	0.1593182066	0.1593173333	1.1735108710	1.1735099733	0.1593182066	1.1735108710
0.1800000000	0.1790295734	0.1790280000	1.1972173631	1.1972157400	0.1790295734	1.1972173631
0.2000000000	0.1986693308	0.1986666667	1.2214027582	1.2214000000	0.1986693308	1.2214027582
0.2200000000	0.2182296231	0.2182253333	1.2460767306	1.2460722733	0.2182296231	1.2460767306
0.2400000000	0.2377026264	0.2376960000	1.2712491503	1.2712422400	0.2377026264	1.2712491503
0.2600000000	0.2570805519	0.2570706667	1.2969300867	1.2969197400	0.2570805519	1.2969300867
0.2800000000	0.2763556486	0.2763413333	1.3231298123	1.3231147733	0.2763556486	1.3231298123
0.3000000000	0.2955202067	0.2955000000	1.3498588076	1.3498375000	0.2955202067	1.3498588076
0.3200000000	0.3145665606	0.3145386667	1.3771277643	1.3770982400	0.3145665606	1.3771277643
0.3400000000	0.3334870921	0.3334493333	1.4049475906	1.4049074733	0.3334870921	1.4049475906
0.3600000000	0.3522742333	0.3522240000	1.4333294146	1.4332758400	0.3522742333	1.4333294146
0.3800000000	0.3709204694	0.3708546667	1.4622845894	1.4622141400	0.3709204694	1.4622845894
0.4000000000	0.3894183423	0.3893333333	1.4918246976	1.4917333333	0.3894183423	1.4918246976
0.4200000000	0.4077604531	0.4076520000	1.5219615556	1.5218445400	0.4077604531	1.5219615556
0.4400000000	0.4259394651	0.4258026667	1.5527072185	1.5525590400	0.4259394651	1.5527072185
0.4600000000	0.4439481070	0.4437773333	1.5840739850	1.5838882733	0.4439481070	1.5840739850
0.4800000000	0.4617791755	0.4615680000	1.6160744022	1.6158438400	0.4617791755	1.6160744022
0.5000000000	0.4794255386	0.4791666667	1.6487212707	1.6484375000	0.4794255386	1.6487212707
0.5200000000	0.4968801378	0.4965653333	1.6820276497	1.6816811733	0.4968801378	1.6820276497
0.5400000000	0.5141359917	0.5137560000	1.7160068622	1.7155869400	0.5141359917	1.7160068622
0.5600000000	0.5311861979	0.5307306667	1.7506725003	1.7501670400	0.5311861979	1.7506725003
0.5800000000	0.5480239368	0.5474813333	1.7860384308	1.7854338733	0.5480239368	1.7860384308
0.6000000000	0.5646424734	0.5640000000	1.8221188004	1.8214000000	0.5646424734	1.8221188004
0.6200000000	0.5810351605	0.5802786667	1.8589280418	1.8580781400	0.5810351605	1.8589280418
0.6400000000	0.5971954414	0.5963093333	1.8964808793	1.8954811733	0.5971954414	1.8964808793
0.6600000000	0.6131168520	0.6120840000	1.9347923344	1.9336221400	0.6131168520	1.9347923344
0.6800000000	0.6287930240	0.6275946667	1.9738777322	1.9725142400	0.6287930240	1.9738777322
0.7000000000	0.6442176872	0.6428333333	2.0137527075	2.0121708333	0.6442176872	2.0137527075
0.7200000000	0.6593846720	0.6577920000	2.0544332106	2.0526054400	0.6593846720	2.0544332106
0.7400000000	0.6742879116	0.6724626667	2.0959355145	2.0938317400	0.6742879116	2.0959355145
0.7600000000	0.6889214451	0.6868373333	2.1382762205	2.1358635733	0.6889214451	2.1382762205
0.7800000000	0.7032794192	0.7009080000	2.1814722655	2.1787149400	0.7032794192	2.1814722655
0.8000000000	0.7173560909	0.7146666667	2.2255409285	2.2224000000	0.7173560909	2.2255409285
0.8200000000	0.7311458297	0.7281053333	2.2704998375	2.2669330733	0.7311458297	2.2704998375
0.8400000000	0.7446431200	0.7412160000	2.3163669768	2.3123286400	0.7446431200	2.3163669768
0.8600000000	0.7578425629	0.7539906667	2.3631606937	2.3586013400	0.7578425629	2.3631606937
0.8800000000	0.7707388789	0.7664213333	2.4108997064	2.4057659733	0.7707388789	2.4108997064
0.9000000000	0.7833269096	0.7785000000	2.4596031112	2.4538375000	0.7833269096	2.4596031112
0.9200000000	0.7956016200	0.7902186667	2.5092903899	2.5028310400	0.7956016200	2.5092903899
0.9400000000	0.8075581004	0.8015693333	2.5599814183	2.5527618733	0.8075581004	2.5599814183
0.9600000000	0.8191915683	0.8125440000	2.6116964734	2.6036454400	0.8191915683	2.6116964734
0.9800000000	0.8304973705	0.8231346667	2.6644562419	2.6554973400	0.8304973705	2.6644562419

Значения функций на [10,11]:
t	sin_exact	sin_approx	exp_exact	exp_approx	sin_improved	exp_improved
10.0000000000	-0.5440211109	-0.5441272770	22026.4657948067	22026.4656324230	-0.5440210858	22026.4657948067
10.0500000000	-0.5852773241	-0.5854023855	23155.7868453955	23155.7866535728	-0.5852773062	23155.7868453955
10.1000000000	-0.6250706489	-0.6252178477	24343.0094244084	24343.0091979938	-0.6250706361	24343.0094244084
10.1500000000	-0.6633016226	-0.6634747367	25591.1022066897	25591.1019396602	-0.6633016135	25591.1022066898
10.2000000000	-0.6998746876	-0.7000781160	26903.1860742976	26903.1857596185	-0.6998746813	26903.1860742977
10.2500000000	-0.7346984304	-0.7349372912	28282.5419203351	28282.5415497962	-0.7346984260	28282.5419203351
10.3000000000	-0.7676858098	-0.7679660533	29732.6188528915	29732.6184169178	-0.7676858067	29732.6188528916
10.3500000000	-0.7987543744	-0.7990829135	31257.0428196098	31257.0423070427	-0.7987543723	31257.0428196097
10.4000000000	-0.8278264691	-0.8282113290	32859.6256744435	32859.6250722887	-0.8278264677	32859.6256744434
10.4500000000	-0.8548294287	-0.8552799191	34544.3747092780	34544.3740024137	-0.8548294278	34544.3747092779
10.5000000000	-0.8796957600	-0.8802226727	36315.5026742469	36315.5018450887	-0.8796957593	36315.5026742468
10.5500000000	-0.9023633100	-0.9029791466	38177.4383118020	38177.4373399156	-0.9023633095	38177.4383118021
10.6000000000	-0.9227754216	-0.9234946536	40134.8374308761	40134.8362925327	-0.9227754213	40134.8374308760
10.6500000000	-0.9408810753	-0.9417204426	42192.5945488307	42192.5932164943	-0.9408810751	42192.5945488307
10.7000000000	-0.9566350163	-0.9576138700	44355.8551302983	44355.8535720373	-0.9566350162	44355.8551302983
10.7500000000	-0.9699978679	-0.9711385620	46630.0284535248	46630.0266323349	-0.9699978678	46630.0284535246
10.8000000000	-0.9809362301	-0.9822645694	49020.8011363823	49020.7990094096	-0.9809362300	49020.8011363821
