t,x(t),dx/dt
0.0000000000e+00,0.0000000000e+00,1.0000000000e-03
1.0000000000e-01,9.3782211252e-02,9.9995335565e-01
2.0000000000e-01,1.9377504650e-01,9.9990334851e-01
3.0000000000e-01,2.9376288079e-01,9.9985333637e-01
4.0000000000e-01,3.9374571361e-01,9.9980331922e-01
5.0000000000e-01,4.9372354447e-01,9.9975329707e-01
6.0000000000e-01,5.9369637286e-01,9.9970326990e-01
7.0000000000e-01,6.9366419828e-01,9.9965323773e-01
8.0000000000e-01,7.9362702023e-01,9.9960320054e-01
9.0000000000e-01,8.9358483822e-01,9.9955315835e-01
1.0000000000e+00,9.9353765174e-01,9.9950311114e-01
1.1000000000e+00,1.0934854603e+00,9.9945305891e-01
1.2000000000e+00,1.1934282634e+00,9.9940300166e-01
1.3000000000e+00,1.2933660604e+00,9.9935293940e-01
1.4000000000e+00,1.3932988511e+00,9.9930287211e-01
1.5000000000e+00,1.4932266347e+00,9.9925279980e-01
1.6000000000e+00,1.5931494109e+00,9.9920272247e-01
1.7000000000e+00,1.6930671790e+00,9.9915264011e-01
1.8000000000e+00,1.7929799387e+00,9.9910255272e-01
1.9000000000e+00,1.8928876894e+00,9.9905246031e-01
2.0000000000e+00,1.9927904306e+00,9.9900236286e-01
2.1000000000e+00,2.0926881618e+00,9.9895226038e-01
2.2000000000e+00,2.1925808825e+00,9.9890215287e-01
2.3000000000e+00,2.2924685922e+00,9.9885204032e-01
2.4000000000e+00,2.3923512904e+00,9.9880192273e-01
2.5000000000e+00,2.4922289766e+00,9.9875180011e-01
2.6000000000e+00,2.5921016503e+00,9.9870167244e-01
2.7000000000e+00,2.6919693109e+00,9.9865153973e-01
2.8000000000e+00,2.7918319580e+00,9.9860140198e-01
2.9000000000e+00,2.8916895911e+00,9.9855125918e-01
3.0000000000e+00,2.9915422097e+00,9.9850111133e-01
3.1000000000e+00,3.0913898132e+00,9.9845095843e-01
3.2000000000e+00,3.1912324012e+00,9.9840080049e-01
3.3000000000e+00,3.2910699732e+00,9.9835063749e-01
3.4000000000e+00,3.3909025286e+00,9.9830046944e-01
3.5000000000e+00,3.4907300669e+00,9.9825029633e-01
3.6000000000e+00,3.5905525877e+00,9.9820011816e-01
3.7000000000e+00,3.6903700903e+00,9.9814993494e-01
3.8000000000e+00,3.7901825745e+00,9.9809974665e-01
3.9000000000e+00,3.8899900395e+00,9.9804955331e-01
4.0000000000e+00,3.9897924850e+00,9.9799935489e-01
4.1000000000e+00,4.0895899103e+00,9.9794915142e-01
4.2000000000e+00,4.1893823151e+00,9.9789894287e-01
4.3000000000e+00,4.2891696987e+00,9.9784872926e-01
4.4000000000e+00,4.3889520608e+00,9.9779851058e-01
4.5000000000e+00,4.4887294007e+00,9.9774828682e-01
4.6000000000e+00,4.5885017180e+00,9.9769805799e-01
4.7000000000e+00,4.6882690121e+00,9.9764782409e-01
4.8000000000e+00,4.7880312826e+00,9.9759758510e-01
4.9000000000e+00,4.8877885290e+00,9.9754734104e-01
5.0000000000e+00,4.9875407506e+00,9.9749709190e-01
5.1000000000e+00,5.0872879472e+00,9.9744683768e-01
5.2000000000e+00,5.1870301180e+00,9.9739657837e-01
5.3000000000e+00,5.2867672627e+00,9.9734631397e-01
5.4000000000e+00,5.3864993806e+00,9.9729604449e-01
5.5000000000e+00,5.4862264714e+00,9.9724576992e-01
5.6000000000e+00,5.5859485344e+00,9.9719549026e-01
5.7000000000e+00,5.6856655693e+00,9.9714520551e-01
5.7999999999e+00,5.7853775754e+00,9.9709491566e-01
5.8999999999e+00,5.8850845522e+00,9.9704462072e-01
5.9999999999e+00,5.9847864994e+00,9.9699432068e-01
6.0999999999e+00,6.0844834162e+00,9.9694401554e-01
6.1999999999e+00,6.1841753023e+00,9.9689370530e-01
6.2999999999e+00,6.2838621571e+00,9.9684338996e-01
6.3999999999e+00,6.3835439801e+00,9.9679306951e-01
6.4999999999e+00,6.4832207708e+00,9.9674274396e-01
6.5999999999e+00,6.5828925287e+00,9.9669241330e-01
6.6999999999e+00,6.6825592533e+00,9.9664207753e-01
6.7999999999e+00,6.7822209441e+00,9.9659173665e-01
6.8999999999e+00,6.8818776005e+00,9.9654139066e-01
6.9999999999e+00,6.9815292220e+00,9.9649103955e-01
7.0999999999e+00,7.0811758082e+00,9.9644068333e-01
7.1999999999e+00,7.1808173585e+00,9.9639032199e-01
7.2999999999e+00,7.2804538724e+00,9.9633995554e-01
7.3999999999e+00,7.3800853495e+00,9.9628958396e-01
7.4999999999e+00,7.4797117891e+00,9.9623920725e-01
7.5999999999e+00,7.5793331907e+00,9.9618882543e-01
7.6999999999e+00,7.6789495540e+00,9.9613843848e-01
7.7999999999e+00,7.7785608783e+00,9.9608804640e-01
7.8999999999e+00,7.8781671631e+00,9.9603764919e-01
7.9999999999e+00,7.9777684079e+00,9.9598724685e-01
8.0999999999e+00,8.0773646123e+00,9.9593683937e-01
8.1999999999e+00,8.1769557756e+00,9.9588642676e-01
8.2999999999e+00,8.2765418975e+00,9.9583600902e-01
8.3999999999e+00,8.3761229773e+00,9.9578558614e-01
8.4999999998e+00,8.4756990145e+00,9.9573515812e-01
8.5999999998e+00,8.5752700087e+00,9.9568472495e-01
8.6999999998e+00,8.6748359593e+00,9.9563428665e-01
8.7999999998e+00,8.7743968659e+00,9.9558384320e-01
8.8999999998e+00,8.8739527278e+00,9.9553339460e-01
8.9999999998e+00,8.9735035446e+00,9.9548294086e-01
9.0999999998e+00,9.0730493158e+00,9.9543248196e-01
9.1999999998e+00,9.1725900409e+00,9.9538201792e-01
9.2999999998e+00,9.2721257192e+00,9.9533154872e-01
9.3999999998e+00,9.3716563504e+00,9.9528107436e-01
9.4999999998e+00,9.4711819339e+00,9.9523059485e-01
9.5999999998e+00,9.5707024692e+00,9.9518011018e-01
9.6999999998e+00,9.6702179558e+00,9.9512962035e-01
9.7999999998e+00,9.7697283931e+00,9.9507912536e-01
9.8999999998e+00,9.8692337807e+00,9.9502862521e-01
9.9999999998e+00,9.9687341180e+00,9.9497811988e-01
