x,y(x),y'(x)
0.0000000000e+00,0.0000000000e+00,1.8432245432e+00
1.0000000000e-03,1.8432245432e-03,1.8432245605e+00
2.0000000000e-03,3.6864491037e-03,1.8432246405e+00
3.0000000000e-03,5.5296737442e-03,1.8432248110e+00
4.0000000000e-03,7.3728985552e-03,1.8432250929e+00
5.0000000000e-03,9.2161236481e-03,1.8432255033e+00
6.0000000000e-03,1.1059349151e-02,1.8432260577e+00
7.0000000000e-03,1.2902575209e-02,1.8432267697e+00
8.0000000000e-03,1.4745801979e-02,1.8432276520e+00
9.0000000000e-03,1.6589029631e-02,1.8432287164e+00
1.0000000000e-02,1.8432258347e-02,1.8432299739e+00
1.1000000000e-02,2.0275488321e-02,1.8432314351e+00
1.2000000000e-02,2.2118719756e-02,1.8432331098e+00
1.3000000000e-02,2.3961952866e-02,1.8432350076e+00
1.4000000000e-02,2.5805187874e-02,1.8432371375e+00
1.5000000000e-02,2.7648425011e-02,1.8432395084e+00
1.6000000000e-02,2.9491664519e-02,1.8432421286e+00
1.7000000000e-02,3.1334906648e-02,1.8432450064e+00
1.8000000000e-02,3.3178151654e-02,1.8432481498e+00
1.9000000000e-02,3.5021399804e-02,1.8432515663e+00
2.0000000000e-02,3.6864651371e-02,1.8432552636e+00
2.1000000000e-02,3.8707906634e-02,1.8432592488e+00
2.2000000000e-02,4.0551165883e-02,1.8432635291e+00
2.3000000000e-02,4.2394429412e-02,1.8432681115e+00
2.4000000000e-02,4.4237697523e-02,1.8432730027e+00
2.5000000000e-02,4.6080970526e-02,1.8432782094e+00
2.6000000000e-02,4.7924248736e-02,1.8432837381e+00
2.7000000000e-02,4.9767532474e-02,1.8432895952e+00
2.8000000000e-02,5.1610822069e-02,1.8432957868e+00
2.9000000000e-02,5.3454117856e-02,1.8433023193e+00
3.0000000000e-02,5.5297420175e-02,1.8433091985e+00
3.1000000000e-02,5.7140729374e-02,1.8433164305e+00
3.2000000000e-02,5.8984045804e-02,1.8433240210e+00
3.3000000000e-02,6.0827369825e-02,1.8433319758e+00
3.4000000000e-02,6.2670701801e-02,1.8433403006e+00
3.5000000000e-02,6.4514042101e-02,1.8433490009e+00
3.6000000000e-02,6.6357391102e-02,1.8433580821e+00
3.7000000000e-02,6.8200749184e-02,1.8433675498e+00
3.8000000000e-02,7.0044116734e-02,1.8433774092e+00
3.9000000000e-02,7.1887494143e-02,1.8433876656e+00
4.0000000000e-02,7.3730881809e-02,1.8433983242e+00
4.1000000000e-02,7.5574280133e-02,1.8434093900e+00
4.2000000000e-02,7.7417689523e-02,1.8434208683e+00
4.3000000000e-02,7.9261110391e-02,1.8434327639e+00
4.4000000000e-02,8.1104543155e-02,1.8434450818e+00
4.5000000000e-02,8.2947988237e-02,1.8434578269e+00
4.6000000000e-02,8.4791446064e-02,1.8434710040e+00
4.7000000000e-02,8.6634917068e-02,1.8434846179e+00
4.8000000000e-02,8.8478401686e-02,1.8434986734e+00
4.9000000000e-02,9.0321900359e-02,1.8435131750e+00
5.0000000000e-02,9.2165413534e-02,1.8435281274e+00
5.1000000000e-02,9.4008941662e-02,1.8435435353e+00
5.2000000000e-02,9.5852485197e-02,1.8435594030e+00
5.3000000000e-02,9.7696044600e-02,1.8435757352e+00
5.4000000000e-02,9.9539620335e-02,1.8435925362e+00
5.5000000000e-02,1.0138321287e-01,1.8436098106e+00
5.6000000000e-02,1.0322682268e-01,1.8436275625e+00
5.7000000000e-02,1.0507045024e-01,1.8436457964e+00
5.8000000000e-02,1.0691409604e-01,1.8436645165e+00
5.9000000000e-02,1.0875776056e-01,1.8436837272e+00
6.0000000000e-02,1.1060144428e-01,1.8437034325e+00
6.1000000000e-02,1.1244514772e-01,1.8437236367e+00
6.2000000000e-02,1.1428887135e-01,1.8437443439e+00
6.3000000000e-02,1.1613261570e-01,1.8437655583e+00
6.4000000000e-02,1.1797638126e-01,1.8437872839e+00
6.5000000000e-02,1.1982016854e-01,1.8438095247e+00
6.6000000000e-02,1.2166397806e-01,1.8438322848e+00
6.7000000000e-02,1.2350781035e-01,1.8438555681e+00
6.8000000000e-02,1.2535166592e-01,1.8438793786e+00
6.9000000000e-02,1.2719554530e-01,1.8439037202e+00
7.0000000000e-02,1.2903944902e-01,1.8439285969e+00
7.1000000000e-02,1.3088337761e-01,1.8439540124e+00
7.2000000000e-02,1.3272733163e-01,1.8439799706e+00
7.3000000000e-02,1.3457131160e-01,1.8440064754e+00
7.4000000000e-02,1.3641531807e-01,1.8440335305e+00
7.5000000000e-02,1.3825935160e-01,1.8440611396e+00
7.6000000000e-02,1.4010341274e-01,1.8440893066e+00
7.7000000000e-02,1.4194750205e-01,1.8441180351e+00
7.8000000000e-02,1.4379162008e-01,1.8441473287e+00
7.9000000000e-02,1.4563576741e-01,1.8441771913e+00
8.0000000000e-02,1.4747994460e-01,1.8442076263e+00
8.1000000000e-02,1.4932415223e-01,1.8442386375e+00
8.2000000000e-02,1.5116839087e-01,1.8442702283e+00
8.3000000000e-02,1.5301266110e-01,1.8443024025e+00
8.4000000000e-02,1.5485696350e-01,1.8443351634e+00
8.5000000000e-02,1.5670129866e-01,1.8443685148e+00
8.6000000000e-02,1.5854566718e-01,1.8444024600e+00
8.7000000000e-02,1.6039006964e-01,1.8444370025e+00
8.8000000000e-02,1.6223450664e-01,1.8444721459e+00
8.9000000000e-02,1.6407897878e-01,1.8445078936e+00
9.0000000000e-02,1.6592348668e-01,1.8445442489e+00
9.1000000000e-02,1.6776803093e-01,1.8445812154e+00
9.2000000000e-02,1.6961261214e-01,1.8446187963e+00
9.3000000000e-02,1.7145723094e-01,1.8446569952e+00
9.4000000000e-02,1.7330188793e-01,1.8446958152e+00
9.5000000000e-02,1.7514658375e-01,1.8447352598e+00
9.6000000000e-02,1.7699131901e-01,1.8447753323e+00
9.7000000000e-02,1.7883609434e-01,1.8448160360e+00
9.8000000000e-02,1.8068091038e-01,1.8448573741e+00
9.9000000000e-02,1.8252576775e-01,1.8448993499e+00
1.0000000000e-01,1.8437066710e-01,1.8449419668e+00
1.0100000000e-01,1.8621560907e-01,1.8449852278e+00
1.0200000000e-01,1.8806059430e-01,1.8450291363e+00
1.0300000000e-01,1.8990562343e-01,1.8450736954e+00
1.0400000000e-01,1.9175069713e-01,1.8451189084e+00
1.0500000000e-01,1.9359581604e-01,1.8451647783e+00
1.0600000000e-01,1.9544098081e-01,1.8452113084e+00
1.0700000000e-01,1.9728619212e-01,1.8452585018e+00
1.0800000000e-01,1.9913145062e-01,1.8453063617e+00
1.0900000000e-01,2.0097675699e-01,1.8453548910e+00
1.1000000000e-01,2.0282211188e-01,1.8454040930e+00
1.1100000000e-01,2.0466751597e-01,1.8454539708e+00
1.1200000000e-01,2.0651296994e-01,1.8455045273e+00
1.1300000000e-01,2.0835847447e-01,1.8455557657e+00
1.1400000000e-01,2.1020403023e-01,1.8456076889e+00
1.1500000000e-01,2.1204963792e-01,1.8456603002e+00
1.1600000000e-01,2.1389529822e-01,1.8457136023e+00
1.1700000000e-01,2.1574101183e-01,1.8457675984e+00
1.1800000000e-01,2.1758677942e-01,1.8458222915e+00
1.1900000000e-01,2.1943260172e-01,1.8458776844e+00
1.2000000000e-01,2.2127847940e-01,1.8459337803e+00
1.2100000000e-01,2.2312441318e-01,1.8459905820e+00
1.2200000000e-01,2.2497040376e-01,1.8460480925e+00
1.2300000000e-01,2.2681645185e-01,1.8461063147e+00
1.2400000000e-01,2.2866255817e-01,1.8461652516e+00
1.2500000000e-01,2.3050872342e-01,1.8462249060e+00
1.2600000000e-01,2.3235494833e-01,1.8462852809e+00
1.2700000000e-01,2.3420123361e-01,1.8463463791e+00
1.2800000000e-01,2.3604757999e-01,1.8464082035e+00
1.2900000000e-01,2.3789398819e-01,1.8464707569e+00
1.3000000000e-01,2.3974045895e-01,1.8465340423e+00
1.3100000000e-01,2.4158699299e-01,1.8465980624e+00
1.3200000000e-01,2.4343359105e-01,1.8466628202e+00
1.3300000000e-01,2.4528025387e-01,1.8467283183e+00
1.3400000000e-01,2.4712698219e-01,1.8467945597e+00
1.3500000000e-01,2.4897377675e-01,1.8468615471e+00
1.3600000000e-01,2.5082063830e-01,1.8469292832e+00
1.3700000000e-01,2.5266756758e-01,1.8469977710e+00
1.3800000000e-01,2.5451456535e-01,1.8470670131e+00
1.3900000000e-01,2.5636163236e-01,1.8471370124e+00
1.4000000000e-01,2.5820876938e-01,1.8472077715e+00
1.4100000000e-01,2.6005597715e-01,1.8472792932e+00
1.4200000000e-01,2.6190325644e-01,1.8473515802e+00
