# t = 0.000000e+00 s = 0.000000e+00 days
# x(m) p(Pa) p(atm)
0.000000e+00 1.013250e+07 1.000000e+02
5.050505e+00 1.013250e+07 1.000000e+02
1.010101e+01 1.013250e+07 1.000000e+02
1.515152e+01 1.013250e+07 1.000000e+02
2.020202e+01 1.013250e+07 1.000000e+02
2.525253e+01 1.013250e+07 1.000000e+02
3.030303e+01 1.013250e+07 1.000000e+02
3.535354e+01 1.013250e+07 1.000000e+02
4.040404e+01 1.013250e+07 1.000000e+02
4.545455e+01 1.013250e+07 1.000000e+02
5.050505e+01 1.013250e+07 1.000000e+02
5.555556e+01 1.013250e+07 1.000000e+02
6.060606e+01 1.013250e+07 1.000000e+02
6.565657e+01 1.013250e+07 1.000000e+02
7.070707e+01 1.013250e+07 1.000000e+02
7.575758e+01 1.013250e+07 1.000000e+02
8.080808e+01 1.013250e+07 1.000000e+02
8.585859e+01 1.013250e+07 1.000000e+02
9.090909e+01 1.013250e+07 1.000000e+02
9.595960e+01 1.013250e+07 1.000000e+02
1.010101e+02 1.013250e+07 1.000000e+02
1.060606e+02 1.013250e+07 1.000000e+02
1.111111e+02 1.013250e+07 1.000000e+02
1.161616e+02 1.013250e+07 1.000000e+02
1.212121e+02 1.013250e+07 1.000000e+02
1.262626e+02 1.013250e+07 1.000000e+02
1.313131e+02 1.013250e+07 1.000000e+02
1.363636e+02 1.013250e+07 1.000000e+02
1.414141e+02 1.013250e+07 1.000000e+02
1.464646e+02 1.013250e+07 1.000000e+02
1.515152e+02 1.013250e+07 1.000000e+02
1.565657e+02 1.013250e+07 1.000000e+02
1.616162e+02 1.013250e+07 1.000000e+02
1.666667e+02 1.013250e+07 1.000000e+02
1.717172e+02 1.013250e+07 1.000000e+02
1.767677e+02 1.013250e+07 1.000000e+02
1.818182e+02 1.013250e+07 1.000000e+02
1.868687e+02 1.013250e+07 1.000000e+02
1.919192e+02 1.013250e+07 1.000000e+02
1.969697e+02 1.013250e+07 1.000000e+02
2.020202e+02 1.013250e+07 1.000000e+02
2.070707e+02 1.013250e+07 1.000000e+02
2.121212e+02 1.013250e+07 1.000000e+02
2.171717e+02 1.013250e+07 1.000000e+02
2.222222e+02 1.013250e+07 1.000000e+02
2.272727e+02 1.013250e+07 1.000000e+02
2.323232e+02 1.013250e+07 1.000000e+02
2.373737e+02 1.013250e+07 1.000000e+02
2.424242e+02 1.013250e+07 1.000000e+02
2.474747e+02 1.013250e+07 1.000000e+02
2.525253e+02 1.013250e+07 1.000000e+02
2.575758e+02 1.013250e+07 1.000000e+02
2.626263e+02 1.013250e+07 1.000000e+02
2.676768e+02 1.013250e+07 1.000000e+02
2.727273e+02 1.013250e+07 1.000000e+02
2.777778e+02 1.013250e+07 1.000000e+02
2.828283e+02 1.013250e+07 1.000000e+02
2.878788e+02 1.013250e+07 1.000000e+02
2.929293e+02 1.013250e+07 1.000000e+02
2.979798e+02 1.013250e+07 1.000000e+02
3.030303e+02 1.013250e+07 1.000000e+02
3.080808e+02 1.013250e+07 1.000000e+02
3.131313e+02 1.013250e+07 1.000000e+02
3.181818e+02 1.013250e+07 1.000000e+02
3.232323e+02 1.013250e+07 1.000000e+02
3.282828e+02 1.013250e+07 1.000000e+02
3.333333e+02 1.013250e+07 1.000000e+02
3.383838e+02 1.013250e+07 1.000000e+02
3.434343e+02 1.013250e+07 1.000000e+02
3.484848e+02 1.013250e+07 1.000000e+02
3.535354e+02 1.013250e+07 1.000000e+02
3.585859e+02 1.013250e+07 1.000000e+02
3.636364e+02 1.013250e+07 1.000000e+02
3.686869e+02 1.013250e+07 1.000000e+02
3.737374e+02 1.013250e+07 1.000000e+02
3.787879e+02 1.013250e+07 1.000000e+02
3.838384e+02 1.013250e+07 1.000000e+02
3.888889e+02 1.013250e+07 1.000000e+02
3.939394e+02 1.013250e+07 1.000000e+02
3.989899e+02 1.013250e+07 1.000000e+02
4.040404e+02 1.013250e+07 1.000000e+02
4.090909e+02 1.013250e+07 1.000000e+02
4.141414e+02 1.013250e+07 1.000000e+02
4.191919e+02 1.013250e+07 1.000000e+02
4.242424e+02 1.013250e+07 1.000000e+02
4.292929e+02 1.013250e+07 1.000000e+02
4.343434e+02 1.013250e+07 1.000000e+02
4.393939e+02 1.013250e+07 1.000000e+02
4.444444e+02 1.013250e+07 1.000000e+02
4.494949e+02 1.013250e+07 1.000000e+02
4.545455e+02 1.013250e+07 1.000000e+02
4.595960e+02 1.013250e+07 1.000000e+02
4.646465e+02 1.013250e+07 1.000000e+02
4.696970e+02 1.013250e+07 1.000000e+02
4.747475e+02 1.013250e+07 1.000000e+02
4.797980e+02 1.013250e+07 1.000000e+02
4.848485e+02 1.013250e+07 1.000000e+02
4.898990e+02 1.013250e+07 1.000000e+02
4.949495e+02 1.013250e+07 1.000000e+02
5.000000e+02 1.013250e+07 1.000000e+02
