# t = 1.080000e+04 s = 1.250000e-01 days
# x(m) p(Pa) p(atm)
0.000000e+00 1.519875e+07 1.500000e+02
5.050505e+00 1.449448e+07 1.430494e+02
1.010101e+01 1.382087e+07 1.364014e+02
1.515152e+01 1.320132e+07 1.302869e+02
2.020202e+01 1.264966e+07 1.248425e+02
2.525253e+01 1.217141e+07 1.201225e+02
3.030303e+01 1.176585e+07 1.161199e+02
3.535354e+01 1.142823e+07 1.127879e+02
4.040404e+01 1.115153e+07 1.100571e+02
4.545455e+01 1.092775e+07 1.078485e+02
5.050505e+01 1.074884e+07 1.060828e+02
5.555556e+01 1.060722e+07 1.046851e+02
6.060606e+01 1.049610e+07 1.035884e+02
6.565657e+01 1.040957e+07 1.027345e+02
7.070707e+01 1.034266e+07 1.020741e+02
7.575758e+01 1.029123e+07 1.015666e+02
8.080808e+01 1.025193e+07 1.011786e+02
8.585859e+01 1.022203e+07 1.008836e+02
9.090909e+01 1.019940e+07 1.006603e+02
9.595960e+01 1.018234e+07 1.004919e+02
1.010101e+02 1.016952e+07 1.003654e+02
1.060606e+02 1.015993e+07 1.002707e+02
1.111111e+02 1.015277e+07 1.002001e+02
1.161616e+02 1.014745e+07 1.001475e+02
1.212121e+02 1.014350e+07 1.001085e+02
1.262626e+02 1.014058e+07 1.000797e+02
1.313131e+02 1.013842e+07 1.000584e+02
1.363636e+02 1.013683e+07 1.000427e+02
1.414141e+02 1.013566e+07 1.000312e+02
1.464646e+02 1.013481e+07 1.000228e+02
1.515152e+02 1.013418e+07 1.000166e+02
1.565657e+02 1.013372e+07 1.000120e+02
1.616162e+02 1.013339e+07 1.000087e+02
1.666667e+02 1.013314e+07 1.000063e+02
1.717172e+02 1.013297e+07 1.000046e+02
1.767677e+02 1.013284e+07 1.000033e+02
1.818182e+02 1.013274e+07 1.000024e+02
1.868687e+02 1.013268e+07 1.000017e+02
1.919192e+02 1.013263e+07 1.000012e+02
1.969697e+02 1.013259e+07 1.000009e+02
2.020202e+02 1.013257e+07 1.000006e+02
2.070707e+02 1.013255e+07 1.000005e+02
2.121212e+02 1.013253e+07 1.000003e+02
2.171717e+02 1.013252e+07 1.000002e+02
2.222222e+02 1.013252e+07 1.000002e+02
2.272727e+02 1.013251e+07 1.000001e+02
2.323232e+02 1.013251e+07 1.000001e+02
2.373737e+02 1.013251e+07 1.000001e+02
2.424242e+02 1.013250e+07 1.000000e+02
2.474747e+02 1.013250e+07 1.000000e+02
2.525253e+02 1.013250e+07 9.999999e+01
2.575758e+02 1.013250e+07 9.999997e+01
2.626263e+02 1.013249e+07 9.999995e+01
2.676768e+02 1.013249e+07 9.999992e+01
2.727273e+02 1.013249e+07 9.999988e+01
2.777778e+02 1.013248e+07 9.999983e+01
2.828283e+02 1.013248e+07 9.999976e+01
2.878788e+02 1.013247e+07 9.999967e+01
2.929293e+02 1.013245e+07 9.999954e+01
2.979798e+02 1.013243e+07 9.999935e+01
3.030303e+02 1.013241e+07 9.999910e+01
3.080808e+02 1.013237e+07 9.999875e+01
3.131313e+02 1.013232e+07 9.999827e+01
3.181818e+02 1.013226e+07 9.999760e+01
3.232323e+02 1.013216e+07 9.999668e+01
3.282828e+02 1.013204e+07 9.999541e+01
3.333333e+02 1.013186e+07 9.999367e+01
3.383838e+02 1.013162e+07 9.999127e+01
3.434343e+02 1.013128e+07 9.998797e+01
3.484848e+02 1.013082e+07 9.998346e+01
3.535354e+02 1.013020e+07 9.997728e+01
3.585859e+02 1.012934e+07 9.996885e+01
3.636364e+02 1.012818e+07 9.995735e+01
3.686869e+02 1.012659e+07 9.994170e+01
3.737374e+02 1.012444e+07 9.992046e+01
3.787879e+02 1.012153e+07 9.989169e+01
3.838384e+02 1.011758e+07 9.985280e+01
3.888889e+02 1.011227e+07 9.980038e+01
3.939394e+02 1.010513e+07 9.972993e+01
3.989899e+02 1.009557e+07 9.963550e+01
4.040404e+02 1.008278e+07 9.950935e+01
4.090909e+02 1.006577e+07 9.934141e+01
4.141414e+02 1.004320e+07 9.911870e+01
4.191919e+02 1.001340e+07 9.882455e+01
4.242424e+02 9.974211e+06 9.843781e+01
4.292929e+02 9.922949e+06 9.793189e+01
4.343434e+02 9.856256e+06 9.727368e+01
4.393939e+02 9.770018e+06 9.642258e+01
4.444444e+02 9.659267e+06 9.532955e+01
4.494949e+02 9.518126e+06 9.393660e+01
4.545455e+02 9.339810e+06 9.217676e+01
4.595960e+02 9.116750e+06 8.997532e+01
4.646465e+02 8.840870e+06 8.725260e+01
4.696970e+02 8.504129e+06 8.392923e+01
4.747475e+02 8.099391e+06 7.993478e+01
4.797980e+02 7.621716e+06 7.522049e+01
4.848485e+02 7.070125e+06 6.977671e+01
4.898990e+02 6.449756e+06 6.365414e+01
4.949495e+02 5.774073e+06 5.698567e+01
5.000000e+02 5.066250e+06 5.000000e+01
