# t = 1.00000000e-02
# Nx = 100, Ny = 100
# x y phi_numerical phi_analytical error
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.01010101e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.02020202e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.03030303e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.04040404e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
5.05050505e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.06060606e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
7.07070707e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
8.08080808e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
9.09090909e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.01010101e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.11111111e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.21212121e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.31313131e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.41414141e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.51515152e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.61616162e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.71717172e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.81818182e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.91919192e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.02020202e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.12121212e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.22222222e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.32323232e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.42424242e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.52525253e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.62626263e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.72727273e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.82828283e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.92929293e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.03030303e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.13131313e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.23232323e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.33333333e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.43434343e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.53535354e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.63636364e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.73737374e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.83838384e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.93939394e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.04040404e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.14141414e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.24242424e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.34343434e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.44444444e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.54545455e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.64646465e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.74747475e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.84848485e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.94949495e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
5.05050505e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
5.15151515e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
5.25252525e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
5.35353535e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
