# t = 1.00000000e-02, y = 5.00000000e-01
# x phi_numerical phi_analytical
0.00000000e+00 9.96362969e-01 9.99506642e-01
1.01010101e-02 9.95861829e-01 9.99003432e-01
2.02020202e-02 9.94357510e-01 9.97494311e-01
3.03030303e-02 9.91851906e-01 9.94980798e-01
4.04040404e-02 9.88347586e-01 9.91465424e-01
5.05050505e-02 9.83848084e-01 9.86951727e-01
6.06060606e-02 9.78357931e-01 9.81444254e-01
7.07070707e-02 9.71882653e-01 9.74948550e-01
8.08080808e-02 9.64428773e-01 9.67471156e-01
9.09090909e-02 9.56003794e-01 9.59019600e-01
1.01010101e-01 9.46616201e-01 9.49602392e-01
1.11111111e-01 9.36275445e-01 9.39229015e-01
1.21212121e-01 9.24991939e-01 9.27909915e-01
1.31313131e-01 9.12777045e-01 9.15656488e-01
1.41414141e-01 8.99643062e-01 9.02481072e-01
1.51515152e-01 8.85603214e-01 8.88396934e-01
1.61616162e-01 8.70671639e-01 8.73418256e-01
1.71717172e-01 8.54863371e-01 8.57560120e-01
1.81818182e-01 8.38194329e-01 8.40838493e-01
1.91919192e-01 8.20681296e-01 8.23270214e-01
2.02020202e-01 8.02341906e-01 8.04872971e-01
2.12121212e-01 7.83194626e-01 7.85665289e-01
2.22222222e-01 7.63258736e-01 7.65666509e-01
2.32323232e-01 7.42554308e-01 7.44896767e-01
2.42424242e-01 7.21102192e-01 7.23376978e-01
2.52525253e-01 6.98923986e-01 7.01128809e-01
2.62626263e-01 6.76042024e-01 6.78174663e-01
2.72727273e-01 6.52479344e-01 6.54537653e-01
2.82828283e-01 6.28259673e-01 6.30241579e-01
2.92929293e-01 6.03407398e-01 6.05310904e-01
3.03030303e-01 5.77947543e-01 5.79770734e-01
3.13131313e-01 5.51905743e-01 5.53646783e-01
3.23232323e-01 5.25308221e-01 5.26965356e-01
3.33333333e-01 4.98181759e-01 4.99753321e-01
3.43434343e-01 4.70553669e-01 4.72038076e-01
3.53535354e-01 4.42451772e-01 4.43847529e-01
3.63636364e-01 4.13904363e-01 4.15210064e-01
3.73737374e-01 3.84940188e-01 3.86154519e-01
3.83838384e-01 3.55588411e-01 3.56710149e-01
3.93939394e-01 3.25878586e-01 3.26906602e-01
4.04040404e-01 2.95840630e-01 2.96773887e-01
4.14141414e-01 2.65504786e-01 2.66342347e-01
4.24242424e-01 2.34901602e-01 2.35642622e-01
4.34343434e-01 2.04061892e-01 2.04705625e-01
4.44444444e-01 1.73016709e-01 1.73562507e-01
4.54545455e-01 1.41797313e-01 1.42244626e-01
4.64646465e-01 1.10435139e-01 1.10783517e-01
4.74747475e-01 7.89617658e-02 7.92108582e-02
4.84848485e-01 4.74088850e-02 4.75584409e-02
4.94949495e-01 1.58082675e-02 1.58581362e-02
5.05050505e-01 -1.58082675e-02 -1.58581362e-02
5.15151515e-01 -4.74088850e-02 -4.75584409e-02
5.25252525e-01 -7.89617658e-02 -7.92108582e-02
5.35353535e-01 -1.10435139e-01 -1.10783517e-01
5.45454545e-01 -1.41797313e-01 -1.42244626e-01
5.55555556e-01 -1.73016709e-01 -1.73562507e-01
5.65656566e-01 -2.04061892e-01 -2.04705625e-01
5.75757576e-01 -2.34901602e-01 -2.35642622e-01
5.85858586e-01 -2.65504786e-01 -2.66342347e-01
5.95959596e-01 -2.95840630e-01 -2.96773887e-01
6.06060606e-01 -3.25878586e-01 -3.26906602e-01
6.16161616e-01 -3.55588411e-01 -3.56710149e-01
6.26262626e-01 -3.84940188e-01 -3.86154519e-01
6.36363636e-01 -4.13904363e-01 -4.15210064e-01
6.46464646e-01 -4.42451772e-01 -4.43847529e-01
6.56565657e-01 -4.70553669e-01 -4.72038076e-01
6.66666667e-01 -4.98181759e-01 -4.99753321e-01
6.76767677e-01 -5.25308221e-01 -5.26965356e-01
6.86868687e-01 -5.51905743e-01 -5.53646783e-01
6.96969697e-01 -5.77947543e-01 -5.79770734e-01
7.07070707e-01 -6.03407398e-01 -6.05310904e-01
7.17171717e-01 -6.28259673e-01 -6.30241579e-01
7.27272727e-01 -6.52479344e-01 -6.54537653e-01
7.37373737e-01 -6.76042024e-01 -6.78174663e-01
7.47474747e-01 -6.98923986e-01 -7.01128809e-01
7.57575758e-01 -7.21102192e-01 -7.23376978e-01
7.67676768e-01 -7.42554308e-01 -7.44896767e-01
7.77777778e-01 -7.63258736e-01 -7.65666509e-01
7.87878788e-01 -7.83194626e-01 -7.85665289e-01
7.97979798e-01 -8.02341906e-01 -8.04872971e-01
8.08080808e-01 -8.20681296e-01 -8.23270214e-01
8.18181818e-01 -8.38194329e-01 -8.40838493e-01
8.28282828e-01 -8.54863371e-01 -8.57560120e-01
8.38383838e-01 -8.70671639e-01 -8.73418256e-01
8.48484848e-01 -8.85603214e-01 -8.88396934e-01
8.58585859e-01 -8.99643062e-01 -9.02481072e-01
8.68686869e-01 -9.12777045e-01 -9.15656488e-01
8.78787879e-01 -9.24991939e-01 -9.27909915e-01
8.88888889e-01 -9.36275445e-01 -9.39229015e-01
8.98989899e-01 -9.46616201e-01 -9.49602392e-01
9.09090909e-01 -9.56003794e-01 -9.59019600e-01
9.19191919e-01 -9.64428773e-01 -9.67471156e-01
9.29292929e-01 -9.71882653e-01 -9.74948550e-01
9.39393939e-01 -9.78357931e-01 -9.81444254e-01
9.49494949e-01 -9.83848084e-01 -9.86951727e-01
9.59595960e-01 -9.88347586e-01 -9.91465424e-01
9.69696970e-01 -9.91851906e-01 -9.94980798e-01
9.79797980e-01 -9.94357510e-01 -9.97494311e-01
9.89898990e-01 -9.95861829e-01 -9.99003432e-01
1.00000000e+00 -9.96362969e-01 -9.99506642e-01
