РЕЗУЛЬТАТЫ ВЫЧИСЛЕНИЯ ШИРИНЫ НА ПОЛУВЫСОТЕ
===========================================
Функция: f(x) = x * exp(-x^2), x ≥ 0

ОСНОВНЫЕ ПАРАМЕТРЫ:
Максимум функции:
x_max = 0.707107
f_max = 0.428882
Полувысота: 0.214441

ТОЧКИ ПОЛУВЫСОТЫ:
Левая точка: x_left = 0.225704
f(x_left) = 0.214494
Количество итераций: 4
Правая точка: x_right = 1.358674
f(x_right) = 0.214492
Количество итераций: 6

РЕЗУЛЬТАТ:
Ширина на полувысоте (FWHM) = 1.132969

ДАННЫЕ ДЛЯ ГРАФИКА:
x	f(x)
0.000000	0.000000
0.010000	0.009999
0.020000	0.019992
0.030000	0.029973
0.040000	0.039936
0.050000	0.049875
0.060000	0.059784
0.070000	0.069658
0.080000	0.079490
0.090000	0.089274
0.100000	0.099005
0.110000	0.108677
0.120000	0.118284
0.130000	0.127821
0.140000	0.137283
0.150000	0.146663
0.160000	0.155956
0.170000	0.165157
0.180000	0.174261
0.190000	0.183263
0.200000	0.192158
0.210000	0.200940
0.220000	0.209606
0.230000	0.218149
0.240000	0.226567
0.250000	0.234853
0.260000	0.243005
0.270000	0.251017
0.280000	0.258886
0.290000	0.266608
0.300000	0.274179
0.310000	0.281596
0.320000	0.288854
0.330000	0.295951
0.340000	0.302883
0.350000	0.309647
0.360000	0.316241
0.370000	0.322661
0.380000	0.328906
0.390000	0.334972
0.400000	0.340858
0.410000	0.346560
0.420000	0.352079
0.430000	0.357411
0.440000	0.362554
0.450000	0.367509
0.460000	0.372273
0.470000	0.376845
0.480000	0.381224
0.490000	0.385409
0.500000	0.389400
0.510000	0.393197
0.520000	0.396799
0.530000	0.400205
0.540000	0.403416
0.550000	0.406433
0.560000	0.409254
0.570000	0.411882
0.580000	0.414316
0.590000	0.416557
0.600000	0.418606
0.610000	0.420464
0.620000	0.422133
0.630000	0.423613
0.640000	0.424906
0.650000	0.426014
0.660000	0.426938
0.670000	0.427681
0.680000	0.428244
0.690000	0.428629
0.700000	0.428838
0.710000	0.428875
0.720000	0.428740
0.730000	0.428437
0.740000	0.427969
0.750000	0.427337
0.760000	0.426545
0.770000	0.425596
0.780000	0.424492
0.790000	0.423237
0.800000	0.421834
0.810000	0.420286
0.820000	0.418595
0.830000	0.416766
0.840000	0.414802
0.850000	0.412706
0.860000	0.410482
0.870000	0.408133
0.880000	0.405663
0.890000	0.403075
0.900000	0.400372
0.910000	0.397559
0.920000	0.394640
0.930000	0.391617
0.940000	0.388495
0.950000	0.385277
0.960000	0.381967
0.970000	0.378568
0.980000	0.375085
0.990000	0.371521
1.000000	0.367879
1.010000	0.364164
1.020000	0.360380
1.030000	0.356528
1.040000	0.352615
1.050000	0.348642
1.060000	0.344614
1.070000	0.340534
1.080000	0.336405
1.090000	0.332232
1.100000	0.328017
1.110000	0.323764
1.120000	0.319477
1.130000	0.315158
1.140000	0.310811
1.150000	0.306439
1.160000	0.302045
1.170000	0.297632
1.180000	0.293204
1.190000	0.288764
1.200000	0.284313
1.210000	0.279856
1.220000	0.275395
1.230000	0.270932
1.240000	0.266471
1.250000	0.262014
1.260000	0.257564
1.270000	0.253122
1.280000	0.248692
1.290000	0.244276
1.300000	0.239875
1.310000	0.235493
1.320000	0.231132
1.330000	0.226792
1.340000	0.222477
1.350000	0.218189
1.360000	0.213928
1.370000	0.209698
1.380000	0.205499
1.390000	0.201333
1.400000	0.197202
1.410000	0.193107
1.420000	0.189050
1.430000	0.185032
1.440000	0.181055
1.450000	0.177118
1.460000	0.173225
1.470000	0.169375
1.480000	0.165571
1.490000	0.161811
1.500000	0.158099
1.510000	0.154434
1.520000	0.150817
1.530000	0.147249
1.540000	0.143730
1.550000	0.140262
1.560000	0.136844
1.570000	0.133477
1.580000	0.130162
1.590000	0.126899
1.600000	0.123688
1.610000	0.120529
1.620000	0.117423
1.630000	0.114370
1.640000	0.111369
1.650000	0.108422
1.660000	0.105528
1.670000	0.102686
1.680000	0.099898
1.690000	0.097162
1.700000	0.094480
1.710000	0.091849
1.720000	0.089271
1.730000	0.086745
1.740000	0.084271
1.750000	0.081849
1.760000	0.079477
1.770000	0.077156
1.780000	0.074886
1.790000	0.072666
1.800000	0.070495
1.810000	0.068373
1.820000	0.066300
1.830000	0.064275
1.840000	0.062297
1.850000	0.060367
1.860000	0.058483
1.870000	0.056644
1.880000	0.054851
1.890000	0.053103
1.900000	0.051399
1.910000	0.049737
1.920000	0.048119
1.930000	0.046543
1.940000	0.045008
1.950000	0.043514
1.960000	0.042060
1.970000	0.040646
1.980000	0.039270
1.990000	0.037932
