x,rho,u,P,t
-10,13,0,1.01325e+06,0
-9.8,13,0,1.01325e+06,0
-9.6,13,0,1.01325e+06,0
-9.4,13,0,1.01325e+06,0
-9.2,13,0,1.01325e+06,0
-9,13,0,1.01325e+06,0
-8.8,13,0,1.01325e+06,0
-8.6,13,0,1.01325e+06,0
-8.4,13,0,1.01325e+06,0
-8.2,13,0,1.01325e+06,0
-8,13,0,1.01325e+06,0
-7.8,13,0,1.01325e+06,0
-7.6,13,0,1.01325e+06,0
-7.4,13,0,1.01325e+06,0
-7.2,13,0,1.01325e+06,0
-7,13,0,1.01325e+06,0
-6.8,13,0,1.01325e+06,0
-6.6,13,0,1.01325e+06,0
-6.4,13,0,1.01325e+06,0
-6.2,13,0,1.01325e+06,0
-6,13,0,1.01325e+06,0
-5.8,13,0,1.01325e+06,0
-5.6,13,0,1.01325e+06,0
-5.4,13,0,1.01325e+06,0
-5.2,13,0,1.01325e+06,0
-5,13,0,1.01325e+06,0
-4.8,13,0,1.01325e+06,0
-4.6,13,0,1.01325e+06,0
-4.4,13,0,1.01325e+06,0
-4.2,13,0,1.01325e+06,0
-4,13,0,1.01325e+06,0
-3.8,13,0,1.01325e+06,0
-3.6,13,0,1.01325e+06,0
-3.4,13,0,1.01325e+06,0
-3.2,13,0,1.01325e+06,0
-3,13,0,1.01325e+06,0
-2.8,13,0,1.01325e+06,0
-2.6,13,0,1.01325e+06,0
-2.4,13,0,1.01325e+06,0
-2.2,13,0,1.01325e+06,0
-2,13,0,1.01325e+06,0
-1.8,13,0,1.01325e+06,0
-1.6,13,0,1.01325e+06,0
-1.4,13,0,1.01325e+06,0
-1.2,13,0,1.01325e+06,0
-1,13,0,1.01325e+06,0
-0.8,13,0,1.01325e+06,0
-0.6,13,0,1.01325e+06,0
-0.4,13,0,1.01325e+06,0
-0.2,13,0,1.01325e+06,0
0,1.3,0,101325,0
0.2,1.3,0,101325,0
0.4,1.3,0,101325,0
0.6,1.3,0,101325,0
0.8,1.3,0,101325,0
1,1.3,0,101325,0
1.2,1.3,0,101325,0
1.4,1.3,0,101325,0
1.6,1.3,0,101325,0
1.8,1.3,0,101325,0
2,1.3,0,101325,0
2.2,1.3,0,101325,0
2.4,1.3,0,101325,0
2.6,1.3,0,101325,0
2.8,1.3,0,101325,0
3,1.3,0,101325,0
3.2,1.3,0,101325,0
3.4,1.3,0,101325,0
3.6,1.3,0,101325,0
3.8,1.3,0,101325,0
4,1.3,0,101325,0
4.2,1.3,0,101325,0
4.4,1.3,0,101325,0
4.6,1.3,0,101325,0
4.8,1.3,0,101325,0
5,1.3,0,101325,0
5.2,1.3,0,101325,0
5.4,1.3,0,101325,0
5.6,1.3,0,101325,0
5.8,1.3,0,101325,0
6,1.3,0,101325,0
6.2,1.3,0,101325,0
6.4,1.3,0,101325,0
6.6,1.3,0,101325,0
6.8,1.3,0,101325,0
7,1.3,0,101325,0
7.2,1.3,0,101325,0
7.4,1.3,0,101325,0
7.6,1.3,0,101325,0
7.8,1.3,0,101325,0
8,1.3,0,101325,0
8.2,1.3,0,101325,0
8.4,1.3,0,101325,0
8.6,1.3,0,101325,0
8.8,1.3,0,101325,0
9,1.3,0,101325,0
9.2,1.3,0,101325,0
9.4,1.3,0,101325,0
9.6,1.3,0,101325,0
9.8,1.3,0,101325,0
10,1.3,0,101325,0
