x,rho,u,P,t
-10,5.98799,235.663,213652,0.00502216
-9.8,5.98799,235.663,213652,0.00502216
-9.6,5.98675,235.714,213554,0.00502216
-9.4,5.98488,235.79,213406,0.00502216
-9.2,5.9827,235.879,213233,0.00502216
-9,5.98036,235.974,213048,0.00502216
-8.8,5.97795,236.072,212857,0.00502216
-8.6,5.9755,236.172,212664,0.00502216
-8.4,5.97303,236.273,212468,0.00502216
-8.2,5.97055,236.374,212272,0.00502216
-8,5.96806,236.475,212076,0.00502216
-7.8,5.96558,236.576,211880,0.00502216
-7.6,5.96309,236.678,211684,0.00502216
-7.4,5.9606,236.779,211488,0.00502216
-7.2,5.95811,236.881,211292,0.00502216
-7,5.95562,236.982,211096,0.00502216
-6.8,5.95314,237.084,210900,0.00502216
-6.6,5.95065,237.185,210704,0.00502216
-6.4,5.94816,237.287,210509,0.00502216
-6.2,5.94568,237.388,210314,0.00502216
-6,5.94319,237.49,210118,0.00502216
-5.8,5.94071,237.591,209923,0.00502216
-5.6,5.93822,237.693,209728,0.00502216
-5.4,5.93574,237.794,209534,0.00502216
-5.2,5.93326,237.895,209339,0.00502216
-5,5.93077,237.997,209144,0.00502216
-4.8,5.92829,238.098,208950,0.00502216
-4.6,5.92581,238.2,208755,0.00502216
-4.4,5.92332,238.301,208561,0.00502216
-4.2,5.92084,238.403,208367,0.00502216
-4,5.91836,238.504,208173,0.00502216
-3.8,5.91588,238.606,207980,0.00502216
-3.6,5.9134,238.707,207786,0.00502216
-3.4,5.91092,238.809,207592,0.00502216
-3.2,5.90844,238.91,207399,0.00502216
-3,5.90596,239.012,207206,0.00502216
-2.8,5.90348,239.113,207013,0.00502216
-2.6,5.90101,239.214,206820,0.00502216
-2.4,5.89853,239.316,206627,0.00502216
-2.2,5.89605,239.417,206434,0.00502216
-2,5.89357,239.519,206242,0.00502216
-1.8,5.8911,239.62,206049,0.00502216
-1.6,5.88862,239.722,205857,0.00502216
-1.4,5.88615,239.823,205665,0.00502216
-1.2,5.88367,239.925,205472,0.00502216
-1,5.8812,240.026,205281,0.00502216
-0.8,5.87872,240.128,205089,0.00502216
-0.6,5.87625,240.229,204897,0.00502216
-0.4,5.87377,240.33,204706,0.00502216
-0.2,5.8713,240.432,204514,0.00502216
0,5.86883,240.533,204323,0.00502216
0.2,5.86636,240.635,204132,0.00502216
0.4,5.86389,240.736,203941,0.00502216
0.6,5.86142,240.837,203751,0.00502216
0.8,5.85896,240.938,203561,0.00502216
1,5.8565,241.039,203371,0.00502216
1.2,5.85404,241.14,203181,0.00502216
1.4,5.85159,241.241,202992,0.00502216
1.6,5.84913,241.342,202803,0.00502216
1.8,5.84667,241.443,202614,0.00502216
2,5.84422,241.544,202425,0.00502216
2.2,5.84177,241.645,202236,0.00502216
2.4,5.83931,241.746,202047,0.00502216
2.6,5.83686,241.846,201859,0.00502216
2.8,5.83441,241.947,201671,0.00502216
3,5.83196,242.048,201482,0.00502216
3.2,5.82951,242.149,201294,0.00502216
3.4,5.82706,242.25,201107,0.00502216
3.6,5.82461,242.35,200919,0.00502216
3.8,5.82216,242.451,200731,0.00502216
4,5.81971,242.552,200544,0.00502216
4.2,5.81727,242.653,200357,0.00502216
4.4,5.81482,242.753,200170,0.00502216
4.6,5.81237,242.854,199983,0.00502216
4.8,5.80993,242.955,199796,0.00502216
5,5.80748,243.055,199609,0.00502216
5.2,5.80504,243.156,199423,0.00502216
5.4,5.8026,243.257,199236,0.00502216
5.6,5.80015,243.357,199050,0.00502216
5.8,5.79771,243.458,198864,0.00502216
6,5.79527,243.559,198678,0.00502216
6.2,5.79283,243.659,198492,0.00502216
6.4,5.79039,243.76,198306,0.00502216
6.6,5.78795,243.861,198121,0.00502216
6.8,5.78551,243.961,197935,0.00502216
7,5.78307,244.062,197750,0.00502216
7.2,5.78063,244.163,197565,0.00502216
7.4,5.77819,244.263,197380,0.00502216
7.6,5.77576,244.364,197195,0.00502216
7.8,5.77332,244.464,197010,0.00502216
8,5.77088,244.565,196826,0.00502216
8.2,5.76845,244.666,196641,0.00502216
8.4,5.76601,244.766,196457,0.00502216
8.6,5.76358,244.867,196273,0.00502216
8.8,5.76115,244.967,196089,0.00502216
9,5.75871,245.068,195905,0.00502216
9.2,5.75628,245.168,195721,0.00502216
9.4,5.75385,245.269,195538,0.00502216
9.6,5.75142,245.37,195354,0.00502216
9.8,5.74899,245.47,195171,0.00502216
10,5.74899,245.47,195171,0.00502216
