x,rho,u,P,e,t
-10,13,0,10,1.15385,0
-9.96,13,0,10,1.15385,0
-9.92,13,0,10,1.15385,0
-9.88,13,0,10,1.15385,0
-9.84,13,0,10,1.15385,0
-9.8,13,0,10,1.15385,0
-9.76,13,0,10,1.15385,0
-9.72,13,0,10,1.15385,0
-9.68,13,0,10,1.15385,0
-9.64,13,0,10,1.15385,0
-9.6,13,0,10,1.15385,0
-9.56,13,0,10,1.15385,0
-9.52,13,0,10,1.15385,0
-9.48,13,0,10,1.15385,0
-9.44,13,0,10,1.15385,0
-9.4,13,0,10,1.15385,0
-9.36,13,0,10,1.15385,0
-9.32,13,0,10,1.15385,0
-9.28,13,0,10,1.15385,0
-9.24,13,0,10,1.15385,0
-9.2,13,0,10,1.15385,0
-9.16,13,0,10,1.15385,0
-9.12,13,0,10,1.15385,0
-9.08,13,0,10,1.15385,0
-9.04,13,0,10,1.15385,0
-9,13,0,10,1.15385,0
-8.96,13,0,10,1.15385,0
-8.92,13,0,10,1.15385,0
-8.88,13,0,10,1.15385,0
-8.84,13,0,10,1.15385,0
-8.8,13,0,10,1.15385,0
-8.76,13,0,10,1.15385,0
-8.72,13,0,10,1.15385,0
-8.68,13,0,10,1.15385,0
-8.64,13,0,10,1.15385,0
-8.6,13,0,10,1.15385,0
-8.56,13,0,10,1.15385,0
-8.52,13,0,10,1.15385,0
-8.48,13,0,10,1.15385,0
-8.44,13,0,10,1.15385,0
-8.4,13,0,10,1.15385,0
-8.36,13,0,10,1.15385,0
-8.32,13,0,10,1.15385,0
-8.28,13,0,10,1.15385,0
-8.24,13,0,10,1.15385,0
-8.2,13,0,10,1.15385,0
-8.16,13,0,10,1.15385,0
-8.12,13,0,10,1.15385,0
-8.08,13,0,10,1.15385,0
-8.04,13,0,10,1.15385,0
-8,13,0,10,1.15385,0
-7.96,13,0,10,1.15385,0
-7.92,13,0,10,1.15385,0
-7.88,13,0,10,1.15385,0
-7.84,13,0,10,1.15385,0
-7.8,13,0,10,1.15385,0
-7.76,13,0,10,1.15385,0
-7.72,13,0,10,1.15385,0
