x,Адаптивный шаг,Фиксированный шаг,Точное решение,Ошибка адапт.,Ошибка фикс.
0.0000000000e+00,-2.0000000000e+00,-2.0000000000e+00,-2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9146667935e-03,-1.9923559779e+00,0.0000000000e+00,-1.9923559779e+00,6.6613381478e-16,1.9923559779e+00
3.8296667935e-03,-1.9847398487e+00,0.0000000000e+00,-1.9847398487e+00,6.6613381478e-16,1.9847398487e+00
5.7446667935e-03,-1.9771528335e+00,0.0000000000e+00,-1.9771528335e+00,6.6613381478e-16,1.9771528335e+00
7.6596667935e-03,-1.9695948210e+00,0.0000000000e+00,-1.9695948210e+00,2.2204460493e-16,1.9695948210e+00
9.5746667935e-03,-1.9620657003e+00,0.0000000000e+00,-1.9620657003e+00,3.5527136788e-15,1.9620657003e+00
1.1489666793e-02,-1.9545653610e+00,0.0000000000e+00,-1.9545653610e+00,3.1086244690e-15,1.9545653610e+00
1.3404666793e-02,-1.9470936930e+00,0.0000000000e+00,-1.9470936930e+00,5.5511151231e-15,1.9470936930e+00
1.5319666793e-02,-1.9396505868e+00,0.0000000000e+00,-1.9396505868e+00,1.9539925233e-14,1.9396505868e+00
1.7234666793e-02,-1.9322359332e+00,0.0000000000e+00,-1.9322359332e+00,1.4432899320e-14,1.9322359332e+00
1.9149666793e-02,-1.9248496234e+00,0.0000000000e+00,-1.9248496234e+00,1.9984014443e-15,1.9248496234e+00
2.1064666793e-02,-1.9174915490e+00,0.0000000000e+00,-1.9174915490e+00,4.4408920985e-15,1.9174915490e+00
2.2979666793e-02,-1.9101616022e+00,0.0000000000e+00,-1.9101616022e+00,1.0436096431e-14,1.9101616022e+00
2.4894666793e-02,-1.9028596754e+00,0.0000000000e+00,-1.9028596754e+00,1.1990408666e-14,1.9028596754e+00
2.6809666793e-02,-1.8955856615e+00,0.0000000000e+00,-1.8955856615e+00,8.8817841970e-15,1.8955856615e+00
2.8724666793e-02,-1.8883394537e+00,0.0000000000e+00,-1.8883394537e+00,2.4202861937e-14,1.8883394537e+00
3.0639666793e-02,-1.8811209459e+00,0.0000000000e+00,-1.8811209459e+00,2.1316282073e-14,1.8811209459e+00
3.2554666793e-02,-1.8739300321e+00,0.0000000000e+00,-1.8739300321e+00,1.4654943925e-14,1.8739300321e+00
3.4469666793e-02,-1.8667666068e+00,0.0000000000e+00,-1.8667666068e+00,2.4424906542e-14,1.8667666068e+00
3.6384666794e-02,-1.8596305649e+00,0.0000000000e+00,-1.8596305649e+00,3.3528735344e-14,1.8596305649e+00
3.8299666794e-02,-1.8525218018e+00,0.0000000000e+00,-1.8525218018e+00,3.5305092183e-14,1.8525218018e+00
4.0214666794e-02,-1.8454402132e+00,0.0000000000e+00,-1.8454402132e+00,3.7081449022e-14,1.8454402132e+00
4.2129666794e-02,-1.8383856952e+00,0.0000000000e+00,-1.8383856952e+00,5.7065463466e-14,1.8383856952e+00
4.4044666794e-02,-1.8313581443e+00,0.0000000000e+00,-1.8313581443e+00,6.3726801613e-14,1.8313581443e+00
4.5959666794e-02,-1.8243574575e+00,0.0000000000e+00,-1.8243574575e+00,7.0166095156e-14,1.8243574575e+00
4.7874666794e-02,-1.8173835321e+00,0.0000000000e+00,-1.8173835321e+00,8.0824236193e-14,1.8173835321e+00
4.9789666794e-02,-1.8104362656e+00,0.0000000000e+00,-1.8104362656e+00,9.2148511044e-14,1.8104362656e+00
5.1704666794e-02,-1.8035155564e+00,0.0000000000e+00,-1.8035155564e+00,1.0147438445e-13,1.8035155564e+00
5.3619666794e-02,-1.7966213027e+00,0.0000000000e+00,-1.7966213027e+00,9.9475983006e-14,1.7966213027e+00
5.5534666794e-02,-1.7897534035e+00,0.0000000000e+00,-1.7897534035e+00,1.1146639167e-13,1.7897534035e+00
5.7449666794e-02,-1.7829117581e+00,0.0000000000e+00,-1.7829117581e+00,1.2767564783e-13,1.7829117581e+00
5.9364666794e-02,-1.7760962661e+00,0.0000000000e+00,-1.7760962661e+00,1.2567724639e-13,1.7760962661e+00
6.1279666794e-02,-1.7693068275e+00,0.0000000000e+00,-1.7693068275e+00,1.3455903058e-13,1.7693068275e+00
6.3194666794e-02,-1.7625433426e+00,0.0000000000e+00,-1.7625433426e+00,1.4233059176e-13,1.7625433426e+00
6.5109666794e-02,-1.7558057124e+00,0.0000000000e+00,-1.7558057124e+00,1.4122036873e-13,1.7558057124e+00
6.7024666794e-02,-1.7490938380e+00,0.0000000000e+00,-1.7490938380e+00,1.5032419753e-13,1.7490938380e+00
6.8939666794e-02,-1.7424076209e+00,0.0000000000e+00,-1.7424076209e+00,1.5565326805e-13,1.7424076209e+00
