ГРАФИЧЕСКИЙ АНАЛИЗ СИСТЕМЫ УРАВНЕНИЙ
x^2 + y^2 = 1
y = tg(x)
=====================================
ДАННЫЕ ДЛЯ ГРАФИКА:
x	circle_upper	circle_lower	tan
-2.00000000	nan	nan	2.18503986
-1.99600000	nan	nan	2.20834124
-1.99200000	nan	nan	2.23205795
-1.98800000	nan	nan	2.25620197
-1.98400000	nan	nan	2.28078576
-1.98000000	nan	nan	2.30582224
-1.97600000	nan	nan	2.33132486
-1.97200000	nan	nan	2.35730759
-1.96800000	nan	nan	2.38378499
-1.96400000	nan	nan	2.41077219
-1.96000000	nan	nan	2.43828493
-1.95600000	nan	nan	2.46633964
-1.95200000	nan	nan	2.49495340
-1.94800000	nan	nan	2.52414404
-1.94400000	nan	nan	2.55393015
-1.94000000	nan	nan	2.58433112
-1.93600000	nan	nan	2.61536718
-1.93200000	nan	nan	2.64705948
-1.92800000	nan	nan	2.67943010
-1.92400000	nan	nan	2.71250211
-1.92000000	nan	nan	2.74629967
-1.91600000	nan	nan	2.78084802
-1.91200000	nan	nan	2.81617361
-1.90800000	nan	nan	2.85230414
-1.90400000	nan	nan	2.88926863
-1.90000000	nan	nan	2.92709751
-1.89600000	nan	nan	2.96582273
-1.89200000	nan	nan	3.00547780
-1.88800000	nan	nan	3.04609794
-1.88400000	nan	nan	3.08772015
-1.88000000	nan	nan	3.13038337
-1.87600000	nan	nan	3.17412856
-1.87200000	nan	nan	3.21899886
-1.86800000	nan	nan	3.26503974
-1.86400000	nan	nan	3.31229915
-1.86000000	nan	nan	3.36082768
-1.85600000	nan	nan	3.41067876
-1.85200000	nan	nan	3.46190886
-1.84800000	nan	nan	3.51457774
-1.84400000	nan	nan	3.56874860
-1.84000000	nan	nan	3.62448845
-1.83600000	nan	nan	3.68186832
-1.83200000	nan	nan	3.74096357
-1.82800000	nan	nan	3.80185429
-1.82400000	nan	nan	3.86462560
-1.82000000	nan	nan	3.92936809
-1.81600000	nan	nan	3.99617827
-1.81200000	nan	nan	4.06515904
-1.80800000	nan	nan	4.13642024
-1.80400000	nan	nan	4.21007926
-1.80000000	nan	nan	4.28626167
-1.79600000	nan	nan	4.36510197
-1.79200000	nan	nan	4.44674438
-1.78800000	nan	nan	4.53134374
-1.78400000	nan	nan	4.61906652
-1.78000000	nan	nan	4.71009192
-1.77600000	nan	nan	4.80461310
-1.77200000	nan	nan	4.90283859
-1.76800000	nan	nan	5.00499384
-1.76400000	nan	nan	5.11132297
-1.76000000	nan	nan	5.22209073
-1.75600000	nan	nan	5.33758475
-1.75200000	nan	nan	5.45811807
-1.74800000	nan	nan	5.58403196
-1.74400000	nan	nan	5.71569925
-1.74000000	nan	nan	5.85352801
-1.73600000	nan	nan	5.99796583
-1.73200000	nan	nan	6.14950471
-1.72800000	nan	nan	6.30868676
-1.72400000	nan	nan	6.47611066
-1.72000000	nan	nan	6.65243934
-1.71600000	nan	nan	6.83840873
-1.71200000	nan	nan	7.03483817
-1.70800000	nan	nan	7.24264255
-1.70400000	nan	nan	7.46284665
-1.70000000	nan	nan	7.69660214
-1.69600000	nan	nan	7.94520788
-1.69200000	nan	nan	8.21013419
-1.68800000	nan	nan	8.49305208
-1.68400000	nan	nan	8.79586879
-1.68000000	nan	nan	9.12077094
-1.67600000	nan	nan	9.47027774
-1.67200000	nan	nan	9.84730666
-1.66800000	nan	nan	10.25525542
-1.66400000	nan	nan	10.69810498
-1.66000000	nan	nan	11.18055035
-1.65600000	nan	nan	11.70816823
-1.65200000	nan	nan	12.28763406
-1.64800000	nan	nan	12.92700679
-1.64400000	nan	nan	13.63610675
-1.64000000	nan	nan	14.42702477
-1.63600000	nan	nan	15.31481857
-1.63200000	nan	nan	16.31848231
-1.62800000	nan	nan	17.46232283
-1.62400000	nan	nan	18.77795682
-1.62000000	nan	nan	20.30728204
-1.61600000	nan	nan	22.10702610
-1.61200000	nan	nan	24.25594477
-1.60800000	nan	nan	26.86666397
-1.60400000	nan	nan	30.10608110
-1.60000000	nan	nan	34.23253274
-1.59600000	nan	nan	39.66835473
-1.59200000	nan	nan	47.15457178
-1.58800000	nan	nan	58.12138668
-1.58400000	nan	nan	75.73209905
-1.58000000	nan	nan	108.64920360
-1.57600000	nan	nan	192.17021025
-1.57200000	nan	nan	830.78987953
-1.56800000	nan	nan	-357.61106153
-1.56400000	nan	nan	-147.13603884
-1.56000000	nan	nan	-92.62049632
-1.55600000	nan	nan	-67.57940911
-1.55200000	nan	nan	-53.19561853
-1.54800000	nan	nan	-43.85911725
-1.54400000	nan	nan	-37.30961518
-1.54000000	nan	nan	-32.46113891
-1.53600000	nan	nan	-28.72706589
-1.53200000	nan	nan	-25.76270266
-1.52800000	nan	nan	-23.35222417
-1.52400000	nan	nan	-21.35359752
-1.52000000	nan	nan	-19.66952782
-1.51600000	nan	nan	-18.23112933
-1.51200000	nan	nan	-16.98826190
-1.50800000	nan	nan	-15.90356070
-1.50400000	nan	nan	-14.94861103
-1.50000000	nan	nan	-14.10141995
-1.49600000	nan	nan	-13.34469909
-1.49200000	nan	nan	-12.66467059
-1.48800000	nan	nan	-12.05021909
-1.48400000	nan	nan	-11.49227823
-1.48000000	nan	nan	-10.98337931
-1.47600000	nan	nan	-10.51731422
-1.47200000	nan	nan	-10.08888024
-1.46800000	nan	nan	-9.69368445
-1.46400000	nan	nan	-9.32799205
-1.46000000	nan	nan	-8.98860760
-1.45600000	nan	nan	-8.67278102
-1.45200000	nan	nan	-8.37813261
-1.44800000	nan	nan	-8.10259275
-1.44400000	nan	nan	-7.84435298
-1.44000000	nan	nan	-7.60182606
-1.43600000	nan	nan	-7.37361315
-1.43200000	nan	nan	-7.15847665
-1.42800000	nan	nan	-6.95531765
-1.42400000	nan	nan	-6.76315700
-1.42000000	nan	nan	-6.58111946
-1.41600000	nan	nan	-6.40842022
-1.41200000	nan	nan	-6.24435358
-1.40800000	nan	nan	-6.08828317
-1.40400000	nan	nan	-5.93963369
-1.40000000	nan	nan	-5.79788372
-1.39600000	nan	nan	-5.66255955
-1.39200000	nan	nan	-5.53322988
-1.38800000	nan	nan	-5.40950117
-1.38400000	nan	nan	-5.29101356
-1.38000000	nan	nan	-5.17743739
-1.37600000	nan	nan	-5.06847006
-1.37200000	nan	nan	-4.96383334
-1.36800000	nan	nan	-4.86327094
-1.36400000	nan	nan	-4.76654640
-1.36000000	nan	nan	-4.67344120
-1.35600000	nan	nan	-4.58375312
-1.35200000	nan	nan	-4.49729471
-1.34800000	nan	nan	-4.41389197
-1.34400000	nan	nan	-4.33338320
-1.34000000	nan	nan	-4.25561789
-1.33600000	nan	nan	-4.18045580
-1.33200000	nan	nan	-4.10776608
-1.32800000	nan	nan	-4.03742649
-1.32400000	nan	nan	-3.96932273
-1.32000000	nan	nan	-3.90334779
-1.31600000	nan	nan	-3.83940137
-1.31200000	nan	nan	-3.77738938
-1.30800000	nan	nan	-3.71722346
-1.30400000	nan	nan	-3.65882054
-1.30000000	nan	nan	-3.60210245
-1.29600000	nan	nan	-3.54699559
-1.29200000	nan	nan	-3.49343057
-1.28800000	nan	nan	-3.44134194
-1.28400000	nan	nan	-3.39066788
-1.28000000	nan	nan	-3.34134998
-1.27600000	nan	nan	-3.29333301
-1.27200000	nan	nan	-3.24656469
-1.26800000	nan	nan	-3.20099549
-1.26400000	nan	nan	-3.15657848
-1.26000000	nan	nan	-3.11326913
-1.25600000	nan	nan	-3.07102520
-1.25200000	nan	nan	-3.02980653
-1.24800000	nan	nan	-2.98957498
-1.24400000	nan	nan	-2.95029427
-1.24000000	nan	nan	-2.91192986
-1.23600000	nan	nan	-2.87444889
-1.23200000	nan	nan	-2.83782002
