ИНТЕГРАЛ БЫСТРООСЦИЛЛИРУЮЩЕЙ ФУНКЦИИ
I = int_0^3 sin(100x) * exp(-x²) * cos(2x) dx

СРАВНЕНИЕ МЕТОДОВ ЧИСЛЕННОГО ИНТЕГРИРОВАНИЯ
===========================================
Метод средних прямоугольников: 1.000610161032e-02
Метод трапеций: 1.000609036036e-02
Метод Симпсона: 1.000609786034e-02
Правило 3/8       : 1.000609786034e-02
Гаусс 2 узла    : 1.603107174135e-01
Гаусс 3 узла    : 4.936702473578e-01
Гаусс 4 узла    : 5.658937687533e-01

АНАЛИЗ СХОДИМОСТИ МЕТОДА СИМПСОНА:
N		I_h				Погрешность (правило Рунге)
1000		1.000655355964e-02		0.000000000000e+00
2000		1.000612611145e-02		2.849654580361e-08
4000		1.000609962246e-02		1.765932672431e-09
8000		1.000609797041e-02		1.101369665607e-10
16000		1.000609786721e-02		6.879906251182e-12
32000		1.000609786076e-02		4.299398799941e-13
64000		1.000609786036e-02		2.687306395928e-14

ДАННЫЕ ДЛЯ ГРАФИКА ФУНКЦИИ:
x		f(x)
0.000000000000e+00		0.000000000000e+00
3.000000000000e-03		2.955122276916e-01
6.000000000000e-03		5.645814943252e-01
9.000000000000e-03		7.831365774624e-01
1.200000000000e-02		9.316365062782e-01
1.500000000000e-02		9.968218373772e-01
1.800000000000e-02		9.729013746476e-01
2.100000000000e-02		8.620678721276e-01
2.400000000000e-02		6.742966895849e-01
2.700000000000e-02		4.264459193537e-01
3.000000000000e-02		1.407393458132e-01
3.300000000000e-02		-1.572309309698e-01
3.600000000000e-02		-4.408022756314e-01
3.900000000000e-02		-6.846329160544e-01
4.200000000000e-02		-8.669719724863e-01
4.500000000000e-02		-9.716043001445e-01
4.800000000000e-02		-9.892958411735e-01
5.100000000000e-02		-9.186103529351e-01
5.400000000000e-02		-7.660251147551e-01
5.700000000000e-02		-5.453363823100e-01
6.000000000000e-02		-2.764092530092e-01
6.300000000000e-02		1.661453410481e-02
6.600000000000e-02		3.074888110488e-01
6.900000000000e-02		5.702193094319e-01
7.200000000000e-02		7.813920707190e-01
7.500000000000e-02		9.222648902176e-01
7.800000000000e-02		9.804345446822e-01
8.100000000000e-02		9.509311547513e-01
8.400000000000e-02		8.366429184477e-01
8.700000000000e-02		6.480349111880e-01
9.000000000000e-02		4.021892102707e-01
9.300000000000e-02		1.212545315138e-01
9.600000000000e-02		-1.695536199717e-01
9.900000000000e-02		-4.442213185199e-01
1.020000000000e-01		-6.782685865448e-01
1.050000000000e-01		-8.509361710258e-01
1.080000000000e-01		-9.470309402880e-01
1.110000000000e-01		-9.582654870696e-01
1.140000000000e-01		-8.839735785029e-01
1.170000000000e-01		-7.311396275284e-01
1.200000000000e-01		-5.137422418585e-01
1.230000000000e-01		-2.514735413530e-01
1.260000000000e-01		3.204822805080e-02
1.290000000000e-01		3.114102216667e-01
1.320000000000e-01		5.616878827509e-01
1.350000000000e-01		7.606736597392e-01
1.380000000000e-01		8.908518225598e-01
1.410000000000e-01		9.409433828411e-01
1.440000000000e-01		9.068845780056e-01
1.470000000000e-01		7.921539262650e-01
1.500000000000e-01		6.074217983628e-01
1.530000000000e-01		3.695574388532e-01
1.560000000000e-01		1.000859029026e-01
1.590000000000e-01		-1.767637085590e-01
1.620000000000e-01		-4.362413911629e-01
1.650000000000e-01		-6.552936332298e-01
1.680000000000e-01		-8.146159785396e-01
1.710000000000e-01		-9.003576181138e-01
1.740000000000e-01		-9.053271977986e-01
1.770000000000e-01		-8.295947223942e-01
1.800000000000e-01		-6.804393076680e-01
1.830000000000e-01		-4.716515837273e-01
1.860000000000e-01		-2.222574452196e-01
1.890000000000e-01		4.521862845449e-02
1.920000000000e-01		3.067918940779e-01
1.950000000000e-01		5.391724946006e-01
1.980000000000e-01		7.218433915414e-01
2.010000000000e-01		8.388753057073e-01
2.040000000000e-01		8.803178073969e-01
2.070000000000e-01		8.430448969273e-01
2.100000000000e-01		7.309832711934e-01
2.130000000000e-01		5.547074182656e-01
2.160000000000e-01		3.304426398880e-01
2.190000000000e-01		7.856993729784e-02
2.220000000000e-01		-1.782293151694e-01
2.250000000000e-01		-4.170197330246e-01
2.280000000000e-01		-6.166643457264e-01
2.310000000000e-01		-7.596990583626e-01
2.340000000000e-01		-8.338626109570e-01
2.370000000000e-01		-8.331478031252e-01
2.400000000000e-01		-7.582838538317e-01
2.430000000000e-01		-6.166115948366e-01
2.460000000000e-01		-4.213680222965e-01
2.490000000000e-01		-1.904495941840e-01
2.520000000000e-01		5.523017839920e-02
2.550000000000e-01		2.936379350967e-01
2.580000000000e-01		5.036000746640e-01
2.610000000000e-01		6.666865872348e-01
2.640000000000e-01		7.688312063833e-01
2.670000000000e-01		8.015452450125e-01
2.700000000000e-01		7.626203231974e-01
2.730000000000e-01		6.562620901056e-01
2.760000000000e-01		4.926486781626e-01
2.790000000000e-01		2.869593123834e-01
2.820000000000e-01		5.796557964495e-02
2.850000000000e-01		-1.736838488703e-01
2.880000000000e-01		-3.873281096025e-01
2.910000000000e-01		-5.641399571442e-01
2.940000000000e-01		-6.887873183485e-01
2.970000000000e-01		-7.507637410056e-01
3.000000000000e-01		-7.452722113515e-01
3.030000000000e-01		-6.735881752081e-01
