x,y(x)
0.0000000000e+00,0.0000000000e+00
3.1415926536e-02,1.7772431354e-02
6.2831853072e-02,3.9062558560e-02
9.4247779608e-02,6.3901608026e-02
1.2566370614e-01,9.2317939925e-02
1.5707963268e-01,1.2433656968e-01
1.8849555922e-01,1.5997865252e-01
2.1991148575e-01,1.9926093141e-01
2.5132741229e-01,2.4219514949e-01
2.8274333882e-01,2.8878742885e-01
3.1415926536e-01,3.3903761857e-01
3.4557519189e-01,3.9293861594e-01
3.7699111843e-01,4.5047566611e-01
4.0840704497e-01,5.1162564688e-01
4.3982297150e-01,5.7635634686e-01
4.7123889804e-01,6.4462574690e-01
5.0265482457e-01,7.1638131648e-01
5.3407075111e-01,7.9155933870e-01
5.6548667765e-01,8.7008427932e-01
5.9690260418e-01,9.5186821728e-01
6.2831853072e-01,1.0368103557e+00
6.5973445725e-01,1.1247966342e+00
6.9115038379e-01,1.2156994649e+00
7.2256631033e-01,1.3093776151e+00
7.5398223686e-01,1.4056762600e+00
7.8539816340e-01,1.5044272305e+00
8.1681408993e-01,1.6054494775e+00
8.4823001647e-01,1.7085497761e+00
8.7964594301e-01,1.8135236877e+00
9.1106186954e-01,1.9201567977e+00
9.4247779608e-01,2.0282262388e+00
9.7389372261e-01,2.1375025080e+00
1.0053096491e+00,2.2477515762e+00
1.0367255757e+00,2.3587372842e+00
1.0681415022e+00,2.4702240074e+00
1.0995574288e+00,2.5819795670e+00
1.1309733553e+00,2.6937783493e+00
1.1623892818e+00,2.8054045917e+00
1.1938052084e+00,2.9166557782e+00
1.2252211349e+00,3.0273460798e+00
1.2566370614e+00,3.1373097671e+00
1.2880529880e+00,3.2464045116e+00
1.3194689145e+00,3.3545144897e+00
1.3508848410e+00,3.4615531956e+00
1.3823007676e+00,3.5674658711e+00
1.4137166941e+00,3.6722314584e+00
1.4451326207e+00,3.7758639901e+00
1.4765485472e+00,3.8784133340e+00
1.5079644737e+00,3.9799652258e+00
1.5393804003e+00,4.0806405355e+00
1.5707963268e+00,4.1805937296e+00
1.6022122533e+00,4.2800105162e+00
1.6336281799e+00,4.3791046769e+00
1.6650441064e+00,4.4781141200e+00
1.6964600329e+00,4.5772962092e+00
1.7278759595e+00,4.6769224503e+00
1.7592918860e+00,4.7772726415e+00
1.7907078125e+00,4.8786286118e+00
1.8221237391e+00,4.9812676952e+00
1.8535396656e+00,5.0854560981e+00
1.8849555922e+00,5.1914423287e+00
1.9163715187e+00,5.2994508628e+00
1.9477874452e+00,5.4096762153e+00
1.9792033718e+00,5.5222775819e+00
2.0106192983e+00,5.6373742010e+00
2.0420352248e+00,5.7550415668e+00
2.0734511514e+00,5.8753086012e+00
2.1048670779e+00,5.9981558640e+00
2.1362830044e+00,6.1235148515e+00
2.1676989310e+00,6.2512684002e+00
2.1991148575e+00,6.3812521808e+00
2.2305307840e+00,6.5132572342e+00
2.2619467106e+00,6.6470334752e+00
2.2933626371e+00,6.7822940574e+00
2.3247785637e+00,6.9187204776e+00
2.3561944902e+00,7.0559682731e+00
2.3876104167e+00,7.1936731599e+00
2.4190263433e+00,7.3314574484e+00
2.4504422698e+00,7.4689365742e+00
2.4818581963e+00,7.6057255860e+00
2.5132741229e+00,7.7414454401e+00
2.5446900494e+00,7.8757289649e+00
2.5761059759e+00,8.0082263727e+00
2.6075219025e+00,8.1386102168e+00
2.6389378290e+00,8.2665797080e+00
2.6703537556e+00,8.3918643248e+00
2.7017696821e+00,8.5142266723e+00
2.7331856086e+00,8.6334645573e+00
2.7646015352e+00,8.7494122675e+00
2.7960174617e+00,8.8619410513e+00
2.8274333882e+00,8.9709588074e+00
2.8588493148e+00,9.0764089993e+00
2.8902652413e+00,9.1782688145e+00
2.9216811678e+00,9.2765465911e+00
2.9530970944e+00,9.3712785336e+00
2.9845130209e+00,9.4625247373e+00
3.0159289474e+00,9.5503645395e+00
3.0473448740e+00,9.6348912100e+00
3.0787608005e+00,9.7162059897e+00
3.1101767271e+00,9.7944114823e+00
3.1415926536e+00,9.8696044011e+00
